公司名稱,公司代號,營業收入(百萬元),毛利率(%),營業利益率(%),稅前純益率(%),稅後純益率(%)
亞泥,1102,"66,206.88",28.86,24.47,32.51,25.58
環泥,1104,"3,551.36",10.30,1.71,20.54,19.81
信大,1109,"5,620.43",32.88,26.61,26.38,17.85
味全,1201,"15,431.85",31.12,3.22,10.53,8.37
大成,1210,"56,773.25",15.27,4.61,4.93,3.85
卜蜂,1215,"15,575.36",14.97,7.72,7.76,6.15
愛之味,1217,"3,614.47",32.27,4.25,3.39,3.05
福壽,1219,"9,044.42",8.30,0.63,0.49,0.21
福懋油,1225,"7,838.37",9.37,4.06,4.46,3.57
聯華,1229,"5,970.78",25.06,14.21,46.87,44.84
大統益,1232,"12,609.33",11.90,7.27,7.54,6.02
黑松,1234,"6,751.80",26.74,5.04,11.13,10.14
宏亞,1236,"1,278.67",25.42,-2.96,-1.95,-2.54
台塑,1301,"159,296.86",16.65,11.08,24.24,21.45
台聚,1304,"41,985.10",11.41,4.67,5.81,4.43
三芳,1307,"7,737.02",22.16,5.99,6.62,4.44
台達化,1309,"13,464.69",6.90,2.83,3.24,2.34
國喬,1312,"15,574.93",14.37,8.25,15.18,11.85
中石化,1314,"24,483.77",7.09,1.17,4.85,4.61
上曜,1316,340.53,11.24,-42.85,-28.56,-21.48
大洋,1321,"3,467.96",4.96,-2.23,3.59,3.59
地球,1324,856.52,16.30,0.26,0.32,-0.21
台化,1326,"251,172.64",11.17,6.49,13.58,12.08
廣華-KY,1338,"5,390.52",25.60,7.18,7.27,4.84
勝悅-KY,1340,878.89,-15.09,-28.27,-23.74,-24.36
遠東新,1402,"190,352.44",18.40,6.09,7.96,6.83
宏洲,1413,"2,390.99",5.90,3.04,3.47,3.45
廣豐,1416,203.80,90.18,-12.91,-20.20,-19.46
東華,1418,180.29,-43.95,-74.44,-86.35,-86.49
利華,1423,394.42,-9.87,-16.45,-7.68,-7.25
福懋,1434,"35,430.39",12.32,6.00,12.65,10.63
華友聯,1436,724.66,27.10,12.83,5.97,3.83
裕豐,1438,0.01,-360.00,"-63,220.00","-92,540.00","-92,540.00"
南紡,1440,"17,314.52",5.21,-3.54,-0.07,0.49
名軒,1442,455.30,10.16,-8.59,30.80,23.76
力麗,1444,"9,294.45",7.51,1.79,4.53,3.56
宏和,1446,343.69,11.94,-9.84,-6.72,-8.43
佳和,1449,"1,851.48",8.86,-4.38,0.30,-1.61
宏益,1452,"1,460.27",15.33,8.91,11.43,9.45
台富,1454,"1,453.96",10.80,1.83,2.82,2.49
怡華,1456,591.61,15.10,6.60,-0.03,-0.67
聯發,1459,"2,421.28",-0.83,-5.93,-4.58,-4.60
強盛,1463,438.37,22.92,7.89,28.45,26.48
偉全,1465,553.45,10.30,-25.48,-23.14,179.64
南緯,1467,"5,328.56",18.01,0.81,1.50,-0.37
大統新創,1470,623.40,26.32,10.90,12.19,9.90
三洋紡,1472,292.11,0.83,38.26,34.87,29.16
弘裕,1474,"2,560.20",8.70,-0.49,-0.35,-0.74
儒鴻,1476,"20,386.02",28.95,19.59,19.82,15.52
士電,1503,"19,478.60",18.88,7.90,9.31,6.95
正道,1506,931.23,9.58,-18.88,-20.63,-21.36
瑞利,1512,"1,488.12",5.91,-6.82,-7.09,-7.09
亞力,1514,"3,458.29",18.49,6.43,7.61,6.41
川飛,1516,464.03,3.55,1.94,1.83,1.83
華城,1519,"4,118.46",15.96,2.34,6.58,5.35
堤維西,1522,"13,364.13",23.54,6.19,6.26,4.56
江申,1525,908.73,9.63,2.33,34.31,21.84
鑽全,1527,"2,676.12",28.86,17.20,32.67,24.33
樂士,1529,330.08,10.56,2.66,2.31,1.51
高林股,1531,"1,674.71",17.00,1.98,4.49,3.43
車王電,1533,"2,138.79",33.19,6.54,7.46,5.42
和大,1536,"4,515.80",28.21,14.20,14.43,12.57
正峰新,1538,276.70,12.13,-23.52,-22.59,-22.59
喬福,1540,511.47,32.02,20.81,35.15,28.05
伸興,1558,"4,670.06",24.97,14.84,16.33,12.21
倉佑,1568,"1,496.42",11.23,0.64,1.70,1.65
程泰,1583,"4,648.67",25.55,8.73,10.23,7.17
永冠-KY,1589,"5,671.17",16.09,2.02,0.62,-0.13
英瑞-KY,1592,"3,819.20",27.99,-5.30,-8.00,-6.33
華電,1603,"1,860.44",14.14,8.20,9.92,7.94
華新,1605,"104,115.19",5.58,2.05,2.98,2.43
大亞,1609,"13,573.87",7.31,2.13,3.61,2.67
宏泰,1612,"2,623.81",5.85,0.50,7.08,6.38
大山,1615,"2,162.74",12.19,7.99,8.45,6.86
榮星,1617,"2,124.03",11.12,1.98,4.57,3.56
艾美特-KY,1626,"8,199.07",19.31,3.95,4.66,3.71
南僑,1702,"13,427.22",34.57,8.65,8.19,4.85
東鹼,1708,"3,247.27",24.22,11.19,8.11,6.20
