"排名","代號","名稱","成交","漲跌幅","成交額(百萬)","PER","累季營收年增(%)","近4Q營益季增(%)","風險係數(β)","累季ROA(%)","近4QROA(%)","歷年加均ROA(%)","累季ROE(%)","歷年加均毛利(%)","歷年加均毛利成長(%)","一個月走勢圖","三個月走勢圖"
"1",="1475","本盟","6.42","0","0","","-0.39","+32.7","0.14","24.4","22.7","-15.7","67","-5.4","-3.1","    ","    "
"2",="3191","和進","38.7","-0.77","16.3","23.7","+23.2","-76.1","0.52","16.6","16.8","-5.79","29.6","14.6","-12.1","    ","    "
"3",="5455","昇益","17.9","0","0","3.58","+5900","+233","0.06","16.7","25.4","-12.2","46","15.4","+57.9","    ","    "
"4",="4430","耀億","21.2","+3.41","1.2","2.62","+5.88","-41.4","0.92","11.5","13","3.78","20.8","25.4","+3.99","    ","    "
"5",="3293","鈊象","513","+9.97","2,144","18.3","+65.3","+34.2","0.97","26.4","32.9","17.6","33.4","82.5","+5.17","    ","    "
"6",="8040","九暘","12.45","+4.18","16.6","6.42","+8.13","+85.5","1.05","15.6","13.2","-4.47","20.9","31.8","-3.39","    ","    "
"7",="6514","芮特-KY","42.5","+6.12","6.09","8.6","+36.5","-3.04","1.55","15.4","17.7","7.21","21.5","24.6","+8.32","    ","    "
"8",="5278","尚凡","92.9","+8.65","9.76","6.01","+40.7","+2.65","1.2","33.4","53.2","5.95","50.2","61.6","+18","    ","    "
"9",="3406","玉晶光","371","+9.93","2,359","20.6","+42","+140","2.03","10.3","12.1","1.35","18.1","22.5","+13.1","    ","    "
"10",="6643","M31","209","+9.42","88.1","21.1","+21.5","+5.79","1.49","17.9","28.3","29.9","20.8","100","+12","    ","    "
"11",="4994","傳奇","41.65","+5.31","5.61","9.3","+326","+146","1.14","20.6","15.6","-3.74","31","84.9","-6.26","    ","    "
"12",="5269","祥碩","698","+9.92","1,288","43.4","+7.19","-2.64","1.29","22.3","34.7","20.7","31","45.3","+21.6","    ","    "
"13",="3684","榮昌","29.5","+3.15","0.26","6.36","-8.77","+7.29","0.97","11.5","12.1","11.2","21.2","36.9","-1.91","    ","    "
"14",="2227","裕日車","191","+5.82","59.2","8.68","+3.77","+9","0.86","19","25.6","16.6","25.2","15.3","+2.33","    ","    "
"15",="5274","信驊","1100","+2.33","459","45.1","+5.5","+6.02","0.98","19.1","25","24.8","25.3","58.1","+22.1","    ","    "
"16",="8464","億豐","176.5","+4.13","197","11.5","+11.6","+9.06","1.25","17.4","23.1","20.1","26.7","46.1","+9.78","    ","    "
"17",="2345","智邦","144","+5.11","1,686","16.2","+37.6","+20.8","1.06","15.8","19.8","5.43","35","18.2","+7.36","    ","    "
"18",="2458","義隆","73.5","+2.51","429","11","+6.4","+4.54","1.13","14.5","17.9","9.96","22.5","40.9","+6.28","    ","    "
"19",="6409","旭隼","610","+3.39","201","23.8","+14","+4.01","0.5","17.1","23.1","21.3","36.5","27.7","+13.8","    ","    "
"20",="8016","矽創","110","+7.84","282","11.7","+34.2","+18.3","1.64","15.7","19.1","12.1","25.7","26.7","+7.98","    ","    "
"21",="2548","華固","78.3","+1.95","108","6.9","+479","+280","0.58","7.82","8.73","8.68","19.4","35.1","-3.8","    ","    "
"22",="6596","寬宏藝術","39.95","+6.11","1.75","5.14","+39.2","+29.7","1.01","17.9","20.8","6.79","33.7","25.2","+10.2","    ","    "
"23",="6670","復盛應用","157.5","+5.7","116","10.2","+5.13","+5.48","0.85","14.5","22.2","18","25.3","22.9","+6.26","    ","    "
"24",="3217","優群","76.6","+6.09","440","17","+18.9","+19.7","1.28","12.2","15.1","6.87","16.6","25.4","+7.73","    ","    "
"25",="3008","大立光","3665","+6.23","3,500","17.4","+13","+3.17","1.58","14.6","20","26.1","17.8","60","+13.9","    ","    "
"26",="5287","數字","184","+2.79","13.8","13.5","-0.72","-1.84","0.6","17.2","22.5","23.7","27.3","79.9","+7.6","    ","    "
